09.04.2024 - 13:22:27 | __chat_bot__ |  28676  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:22:28 | __chat_bot__ |  28676  - DEBUG    - main.py   :240 - Startup Chat-Bot >>> {'x': 0, 'y': 0, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt'}
09.04.2024 - 13:22:44 | __chat_bot__ |  26324  - DEBUG    - main.py   :122 - Message sent >>> Iceland
09.04.2024 - 13:24:44 | __chat_bot__ |  27088  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 13:24:50 | __chat_bot__ |  27088  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:25:22 | __chat_bot__ |  13180  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 13:25:25 | __chat_bot__ |  13180  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:25:36 | __chat_bot__ |  16540  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 13:25:40 | __chat_bot__ |  16540  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:26:16 | __chat_bot__ |  33592  - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 13:26:38 | __chat_bot__ |  33592  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:26:45 | __chat_bot__ |  33592  - DEBUG    - main.py   :241 - Startup Chat-Bot >>> {'x': None, 'y': None, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt'}
09.04.2024 - 13:26:58 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Colombia
09.04.2024 - 13:27:01 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Mongolia
09.04.2024 - 13:27:08 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Burundi
09.04.2024 - 13:27:15 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Korea, South
09.04.2024 - 13:27:19 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Congo, Republic
09.04.2024 - 13:27:20 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Fiji
09.04.2024 - 13:27:26 | __chat_bot__ |  31448  - DEBUG    - main.py   :122 - Message sent >>> Belize
09.04.2024 - 13:28:06 | __chat_bot__ |  30056  - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 13:28:15 | __chat_bot__ |  30056  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:29:05 | __chat_bot__ |  23200  - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 13:29:34 | __chat_bot__ |  16788  - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 13:32:33 | __chat_bot__ |  7396   - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 13:32:39 | __chat_bot__ |  7396   - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 13:32:39 | __chat_bot__ |  7396   - DEBUG    - main.py   :241 - Startup Chat-Bot >>> {'x': None, 'y': None, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt'}
09.04.2024 - 13:32:55 | __chat_bot__ |  24772  - DEBUG    - main.py   :122 - Message sent >>> Germany
09.04.2024 - 13:33:01 | __chat_bot__ |  24772  - DEBUG    - main.py   :122 - Message sent >>> Seychelles
